,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,leaky_ReLU,0.016896199088743995,0.02944661536894865,0.0010318827960732386,0.06326590055824907,0.022505221521052242,0.03625166920152904,0.0012745664657449888,0.08295062192404681,0,0
1,0.0,leaky_ReLU,0.01688263449222044,0.2319389909839992,0.023344021748582917,0.2690498704347779,0.02170962064043492,0.2542767181991042,0.028028552817236565,0.2960793512319951,1,0
2,0.0,leaky_ReLU,0.01824140404289226,0.10368912592397356,0.014256862339090747,0.08658607112891638,0.02233625058826877,0.1352780400949734,0.01643468745386367,0.11083276347985022,2,0
3,0.0,leaky_ReLU,0.07906762813191624,0.3353307648123406,0.004798977817692662,0.20364043226322479,0.09452209468226741,0.3479792187096602,0.0063359952773093895,0.24661036584683835,3,0
4,0.0,leaky_ReLU,0.010154822669552728,0.044933449240915184,0.003880173693587145,0.5061760370148811,0.012754534204050674,0.05068038154211652,0.004795985312447001,0.7268883222891521,4,0
5,0.0,leaky_ReLU,0.0050169597034766455,0.12212334538992095,0.002326784223853706,0.6467992468240314,0.006303854128822772,0.1463157186598134,0.0029791721106216854,0.9004949407068145,5,0
6,0.0,leaky_ReLU,0.009118198956967666,0.05512118838499544,0.004420397231203557,0.07186395441865376,0.010977861301022565,0.06785558149227247,0.005810038921991741,0.0847826780629687,6,0
7,0.0,leaky_ReLU,0.009325136000760818,0.1402356509017965,0.019939201382955764,0.020180760335161328,0.012467757626499619,0.15712456791563126,0.022998413505016763,0.022716108655699008,7,0
8,0.0,leaky_ReLU,0.06193066424272365,0.14979151931466642,0.018647537499138056,0.06844837048564995,0.07536902942431024,0.16095366878166703,0.025561518005481572,0.07632076775695772,8,0
9,0.0,leaky_ReLU,0.004892878996414192,0.08236658774690452,0.0020711425223546814,0.006700900944498898,0.005978922278655809,0.09836621325287778,0.0025224394177802228,0.007456508861745729,9,0
10,0.0,leaky_ReLU,0.016867343504590848,0.035095746005602974,0.0010376613568869658,0.0278471137856018,0.02235924383801801,0.043179497961926425,0.0013285063163719568,0.03920565052920169,0,1
11,0.0,leaky_ReLU,0.008609902336786346,0.1263195143073963,0.005725727011446313,0.266435494980559,0.012765335648631927,0.14301226742823264,0.007149752305717625,0.30636030341343334,1,1
12,0.0,leaky_ReLU,0.011574605018551525,0.08729689975146761,0.014256862961539376,0.0865860603233917,0.015938009714676536,0.11093216276675551,0.016434687453859793,0.11083274862696671,2,1
13,0.0,leaky_ReLU,0.02017481102443783,0.27405177621790644,0.004710837125413699,0.6926133188460466,0.03922840667541168,0.2835667825843737,0.00545097040414016,0.9782472652130962,3,1
14,0.0,leaky_ReLU,0.013290469534839677,0.08589475360501136,0.004010278354278751,0.11516853516558413,0.017460575420194968,0.09086639239765243,0.004955955134966906,0.15386788158352965,4,1
15,0.0,leaky_ReLU,0.005577273103104223,0.11637771266151876,0.0019306649606861755,0.4719275985155322,0.006752103130450922,0.13934905546832646,0.00275625799475772,0.6871129809885016,5,1
16,0.0,leaky_ReLU,0.009197333574579662,0.05368086500374868,0.007631642248299551,0.06255868828418781,0.010729371495518985,0.0666769038284977,0.009281026089218403,0.07570738388561947,6,1
17,0.0,leaky_ReLU,0.01384614667305208,0.10074192238572165,0.021122968343967326,0.023832465589298694,0.016473327733372345,0.11380189291896789,0.024231056553958196,0.026782346371943575,7,1
18,0.0,leaky_ReLU,0.055876469963667026,0.1451610180442079,0.01959702935728915,0.0591432026638993,0.07125122982586153,0.15333207079841296,0.024743951637135327,0.07032195033125907,8,1
