,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,1,0.04164545899730514,1.9384285645504375,1.3553972758965454e-16,7.190015778524823e-16,0.09625560644976097,2.273878101479968,2.103030580643861e-16,1.1301342266995672e-15,1,0
1,0.0,1,0.04988563370004043,2.105638187843247,1.4058892938706435e-16,6.344131569286609e-16,0.11628534451889495,2.4384331744869594,2.134518424953621e-16,1.0163818858034712e-15,1,1
2,0.0,1,0.051986557791939204,2.1291391462171143,1.231653667943533e-16,9.093255249310805e-16,0.12110277663787522,2.458621303400384,2.0598310402958047e-16,1.1280548611355359e-15,1,2
3,0.02,1,0.038514992601041804,1.926237736465333,0.0032383998613844324,0.21292936406508337,0.09164108243137331,2.2706802031388538,0.006415862887773875,0.2715548207809196,1,0
4,0.02,1,0.05848344816160064,2.192714881452587,0.0017491982290362335,0.016569114863908312,0.13338226796747962,2.522208306224212,0.0023929212167500343,0.017974968939441196,1,1
5,0.02,1,0.042665138376457565,1.976351894601937,0.0012724281827463974,0.004338027752275087,0.09764314970046659,2.3109627092986615,0.0018205089446646809,0.004658337446646948,1,2
6,0.04,1,0.05016109755750288,2.1274356038380486,0.006666687458040636,0.07260757103773476,0.1146188783635584,2.466579631040504,0.00842408167032998,0.08135472817711646,1,0
7,0.04,1,0.04128406764771996,2.0469604055811113,0.0028403801614048196,0.011841194536964644,0.09235995459123253,2.394686600814464,0.0033314682358335955,0.012103641636537944,1,1
8,0.04,1,0.03845315989752507,1.9385676682121906,0.00824436967691484,0.05192183407642319,0.08660515569425839,2.2927871290141013,0.010117607474284007,0.058319856088757,1,2
9,0.06,1,0.2392856466354011,2.4810203838925093,0.009222910877679564,0.03982586811840974,0.3689167083331023,2.854458816985837,0.01115225265016051,0.04998689893090454,1,0
10,0.06,1,0.2722813034842345,2.107200233166523,0.0127266784496561,0.013256368133700009,0.3825808571133935,2.5081032846132474,0.017149041859572722,0.01606432806080827,1,1
11,0.06,1,0.03774534377510393,1.591279060296809,0.019304993031758106,0.02872090947503751,0.05679549325276745,1.9200934392694597,0.020801228964430298,0.03658237255183636,1,2
12,0.08,1,0.061345195828242556,2.094597094596435,0.016280136367576022,0.11211805536220044,0.11977126953486728,2.422016471381808,0.02022929000453859,0.132137466494932,1,0
13,0.08,1,0.052234742648853076,1.822842535606166,0.025802263111171106,0.3472718324640286,0.10682929964955801,2.1113485175144056,0.030710126121181517,0.513040772059298,1,1
14,0.08,1,0.03628496362923608,1.4476953646267026,0.02100567238182176,0.9302063921069857,0.05178553408555709,1.7741333619316444,0.029586952952264087,1.2456376654829229,1,2
15,0.1,1,0.21901055801049737,2.3772825240274456,0.018909078648282115,0.3017153356550401,0.27539330139811213,2.7412045690027487,0.028764389951911905,0.3325993079038485,1,0
16,0.1,1,0.027728219900060004,1.5316100924918974,0.01912742523818329,0.09809154593698059,0.035085876443814536,1.950536972005308,0.026362755922634432,0.1051301671773792,1,1
17,0.1,1,0.028860544913881975,1.594305974763853,0.013181671951553946,0.11164257393009512,0.04668571699281448,1.9485612097941793,0.01639755099112836,0.12704965513121969,1,2
18,0.12,1,0.25431116071495685,2.1223325698133655,0.011343833208919867,0.11642066361928223,0.375918134081145,2.501794542582022,0.014400971725271104,0.12876778720442297,1,0
19,0.12,1,0.06677787403307066,2.2204085773233087,0.028291403363468096,0.09668872971826878,0.13377886479651552,2.5507819078455416,0.032796878873038594,0.09753895886517852,1,1
20,0.12,1,0.03466889632937756,1.3467286320441336,0.019253475870624547,0.16106557188098625,0.04203970791575126,1.722107794271901,0.028745784714743677,0.17723178147591218,1,2
21,0.14,1,0.21589204291067818,2.4840534298231036,0.027273709737027568,0.35424379463856476,0.2868861748724914,2.8566938438807012,0.03285388872803676,0.522318505204134,1,0
22,0.14,1,0.21228857144237112,2.4455233184227563,0.07236679467661504,2.291987800310506,0.2885089688502976,2.81299795689555,0.08642270981287094,2.815020060506597,1,1
23,0.14,1,0.2296774240993047,2.3409618646632295,0.04368382906984943,0.2229210569162891,0.30746980135677887,2.7271765217951716,0.06687418818097052,0.23465390124162797,1,2
24,0.16,1,0.07092086889242356,2.2481273430685405,0.024228801581271157,0.3446060013070844,0.10514137032123722,2.6347873301494933,0.03705770221385237,0.3805577755770523,1,0
25,0.16,1,0.05529955691706676,1.2505141924840606,0.05492435439951064,0.8891011787261195,0.06724808802840238,1.6463432087811276,0.0747206399368654,1.0905552101629306,1,1
26,0.16,1,0.4048887981761348,2.253795251386266,0.07481507823146319,0.26163381046926876,0.4902355067413704,2.671121757820549,0.0850646981152951,0.27906949166152284,1,2
27,0.18,1,0.0618366082965738,1.4284014456864693,0.0637135989279887,0.8421900732001271,0.07271134080419846,1.879072348851977,0.08060912864518527,1.039225900325832,1,0
28,0.18,1,0.0747700417386572,2.104798404408749,0.04433792368471101,0.5471195779039044,0.0970018877317415,2.479029779454153,0.058227715709611154,0.612330805927032,1,1
29,0.18,1,0.05663587449940858,1.5738107207492613,0.04302554080070286,0.34391065496573897,0.06938340982522605,1.965564134781588,0.06086046597542769,0.35579200183481985,1,2
