,sigma,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,0.014530767350083044,0.04783524173385533,0.0009995330324145488,0.00906635654271407,0.019052421014206143,0.0565888375573788,0.001342534044989666,0.014549561311127208,0,0
1,0.0,0.03894782596133038,0.25029236088110113,0.007436997083286878,0.19768176509208138,0.04387809275492906,0.2703467426515842,0.010081004011899708,0.2187113412311562,1,0
2,0.0,0.007356575326281614,0.15332667025129768,0.005103452023319424,0.17567664257166643,0.009675311961871184,0.18394346593322686,0.006734956226882722,0.20656292158983924,2,0
3,0.0,0.019418549120551482,0.3111853969366875,0.0016517257333288867,0.06723254124881409,0.0471968938705982,0.3208029152759294,0.0020610377164158988,0.08044059786892506,3,0
4,0.0,0.006737008131756436,0.0593731239221915,0.002559376015160175,1.1417002816123227,0.01496337889846753,0.06719798592272497,0.002954169724444508,1.636346149659629,4,0
5,0.0,0.00802051770492312,0.15183991590165466,0.001963471588342166,0.6916164267144169,0.009270740896591866,0.17630763090824358,0.0027092563432602277,1.063898493756894,5,0
6,0.0,0.008485361622801741,0.06633242468961889,0.0017089054318566751,7.74979706380194,0.010034304216621978,0.07905206569961987,0.002319394633483068,19.87529710702435,6,0
7,0.0,0.009947434234381776,0.12858024645119376,0.004754678105823214,0.019308501336292694,0.01312591140726007,0.1409946354798624,0.0060447033872409375,0.021418348847152532,7,0
8,0.0,0.05221421219276403,0.19147128137030664,0.017237472313530063,0.06991692000829049,0.06744282935915333,0.1992967277916978,0.022756729397214008,0.08349553077507839,8,0
9,0.0,0.006645463147441734,0.21500973609820587,0.0018518855312346576,0.0506516667535384,0.015819967662847396,0.23324471205540517,0.0026338823537720994,0.06495447314408191,9,0
10,0.0,0.015986001955938956,0.037697939554456404,0.0008445198642182041,0.0736956757638371,0.021492464442676055,0.044316022432477585,0.0010669634591323593,0.09135003795622508,0,1
11,0.0,0.006583825467379103,0.20195904868742182,0.005034872309105942,0.11697184554875482,0.009795156213082393,0.21775199366870424,0.006654408227432591,0.12292428873380633,1,1
12,0.0,0.0070766924024512606,0.14835169699877573,0.0055291340135747245,0.1069085617610732,0.009318771669736369,0.17801848561298578,0.0068605665646111385,0.12818840672746074,2,1
13,0.0,0.021573963497820803,0.31674603136368856,0.0015905605298108527,0.16790335657873476,0.05024533816234255,0.3254245556493113,0.0020329529540088613,0.2647911505521513,3,1
14,0.0,0.008797410644741675,0.058104995135242206,0.0036391524480692754,0.7231566237063995,0.018982665652606232,0.0673744327445791,0.004342030061060919,0.987709735075613,4,1
15,0.0,0.007271567036239059,0.14278891854922757,0.001947081781843422,0.5433088236258593,0.00869917286472187,0.1658130430061134,0.0026933047958379768,0.8179146439858284,5,1
16,0.0,0.008296624844498982,0.06941036787289252,0.0025629802715378684,0.08556265408107436,0.00991061943349883,0.0818799702445277,0.0035250445710766558,0.096453307625509,6,1
17,0.0,0.010727371638395227,0.17164442063860694,0.003907730615363339,0.22478703698065192,0.015446327829080866,0.18624731584872195,0.0052248359414062235,0.2669238153443909,7,1
18,0.0,0.019670742001140974,0.12139305053667956,0.007849524864028911,0.052368087452734254,0.02792679560425561,0.1274369712148147,0.010831223406969145,0.05982267675736899,8,1
19,0.0,0.004755162687486333,0.11324882777076253,0.0018261885234631902,0.046186015578456883,0.00634067932131924,0.12970621732120535,0.00264092886861402,0.05911846534693326,9,1
20,0.0,0.014924855242333277,0.049917389554984155,0.0009631879327342061,0.010485375153267786,0.019670937234219792,0.058879357924487334,0.0012680635309079203,0.01628936713704027,0,2
21,0.0,0.0076711763360966575,0.21353822856037963,0.007637702598335668,0.19671076368562446,0.011103861728402263,0.22942478875831263,0.010069085058850633,0.21790804052167112,1,2
22,0.0,0.0075060456826482914,0.1464465788837323,0.005254752971021478,0.1264079889000842,0.010175328901544317,0.17831679573292353,0.006999988016793001,0.19085907439053595,2,2
23,0.0,0.02253178213742387,0.3172626038472209,0.0016589497876869975,0.02507637559122809,0.051576472839909834,0.3254511964537059,0.00200107825677321,0.02790061553076695,3,2
24,0.0,0.01495973807559767,0.05416925829400528,0.0036990666349931496,0.707394986799941,0.01979640507420113,0.0632998865258032,0.004393069643011509,0.9629300411599628,4,2
25,0.0,0.007256897711195118,0.130625482162313,0.0019788127770009583,0.18433890376100845,0.008303080574720515,0.15323045775604413,0.0025604725121937937,0.2513070346451068,5,2
26,0.0,0.008946508186594553,0.05806695518899539,0.001807927334772944,0.048094450395803366,0.010464525431998644,0.07026575244995599,0.002443099494537377,0.0550538942916032,6,2
27,0.0,0.010793275684194135,0.16205495195518876,0.0044488978434522415,0.06516552064264615,0.015142360359330143,0.17545879551249077,0.005628613680451582,0.08429789000137888,7,2
28,0.0,0.056764064174721816,0.20082340107632124,0.005567348545362078,0.04286298753805123,0.06964495924060173,0.20977978065146444,0.008376785874674393,0.04772718355792588,8,2
