,sigma,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,std_mae_nn_train,std_mae_nn_test,std_mae_mdl_train,std_mae_mdl_test,std_rmse_nn_train,std_rmse_nn_test,std_rmse_mdl_train,std_rmse_mdl_test,sem_mae_nn_train,sem_mae_nn_test,sem_mae_mdl_train,sem_mae_mdl_test,sem_rmse_nn_train,sem_rmse_nn_test,sem_rmse_mdl_train,sem_rmse_mdl_test
0,0.02,0.014040872378696171,0.13451211726586537,0.013320148220913366,0.12284181901819552,0.0195332894880595,0.14883397206298996,0.016400552156775796,0.14408093323283935,0.005987101605641182,0.0985341950942072,0.006774189477222768,0.10821715905230851,0.013957032000796324,0.10063084034078598,0.00779137249136704,0.12751270254075275,0.0034566547236825774,0.056888744062023634,0.003911080118216096,0.06247920590978687,0.008058096182747979,0.058099242759531045,0.004498351005247406,0.07361949313700028
1,0.04,0.020846643011330036,0.14393726652580377,0.01704920153192176,0.120326587731752,0.02767216867891159,0.15699267733231745,0.021368093558415256,0.13859634563519557,0.013609118491505241,0.08119398257700865,0.006522575510579975,0.08708167670276878,0.015321694492683124,0.08344549783309436,0.007783126667726748,0.09733667516857149,0.007857228224504065,0.04687736769741373,0.0037658107268430095,0.05027662948582752,0.008845984439791808,0.048177280636599366,0.004493590276748993,0.05619735561059791
2,0.06,0.02292562872239378,0.1388461586467109,0.021438324334062772,0.39330370455707747,0.030395580928068468,0.1516965320148019,0.02620144584887109,0.6568413420662759,0.011298817705241986,0.08799792633230498,0.00932984503943596,0.7643696217455813,0.016081546106811274,0.08920035283966744,0.010235992261146059,1.530291560652968,0.00652337544364597,0.05080562645608514,0.005386588545015846,0.4413090068751838,0.009284684973752868,0.0514998477237916,0.005909752887395604,0.8835142444816035
3,0.08,0.030155184452111034,0.13394581365334507,0.028633169973958764,0.16189721930852335,0.03915012840391859,0.1459902982040329,0.0366841445646415,0.18018122279202672,0.010821374801668573,0.06981766528966046,0.013163112139401575,0.12583405725010832,0.012991980507607222,0.07065287509707557,0.01717827983568554,0.1327222640592308,0.0062477236547451845,0.04030924784917666,0.00759972633705673,0.07265032682657283,0.007500923443373401,0.04079145645631759,0.009917884487347766,0.0766272348820535
4,0.1,0.043010788173070955,0.1704644356294875,0.03902571605407517,0.19720755973929935,0.05525335029431573,0.18508542599292038,0.04865869994976179,0.2147103562952837,0.021159072500940544,0.1327377712592904,0.022287333215008615,0.14389623807765403,0.025123739806301327,0.13414127668477535,0.026973039305761178,0.15086896835151312,0.012216196204220832,0.07663618796818229,0.012867597831204112,0.08307853178950804,0.014505197940218189,0.07744650220339512,0.015572891504043573,0.08710423949010723
5,0.12,0.09046937393811039,0.6722779482444146,0.04132713320083733,0.1744676429881966,0.16904005842054287,0.68523797647197,0.050646157766584335,0.19197566398915605,0.06043051440488544,0.4390631807638022,0.024024195252310098,0.1321203635452456,0.1351608867221904,0.43281096365172117,0.027065388411580227,0.14583924073682514,0.03488957375892817,0.2534932456052345,0.013870375595985366,0.07627972745827877,0.07803517433296514,0.24988352637254257,0.015626209285147623,0.08420032489781663
6,0.14,0.06048129502295036,0.2508007954016092,0.05374846934244093,0.26881963702785916,0.08209162937363436,0.26369960384433944,0.06495393144439343,0.28499127719627243,0.03610304634807656,0.2694213715584131,0.029276196136484217,0.13525126986069094,0.054669946694564736,0.2688582921443849,0.03427536835767465,0.13925196022936406,0.020844103527627538,0.155550501394688,0.016902619720247446,0.07808735706230864,0.031563708440689446,0.15522540734342366,0.01978889314787704,0.08039715672360641
7,0.16,0.0744238236948553,0.3838697942062959,0.05673760894833904,0.19599293250975353,0.10979738448851482,0.40030973028272976,0.06820809720467,0.20839712639422076,0.043813872588777475,0.3318165014645057,0.03781610704854483,0.13611173070329,0.08379103898204678,0.3279975643447121,0.04392396266848569,0.14038735351531118,0.02529595113337064,0.19157434644209223,0.021833139584181063,0.07858414436141034,0.04837677891196313,0.18936948206796114,0.025359511670525286,0.08105267634288407
8,0.18,0.07252847527149735,0.3628137495157979,0.0541510331703451,0.267464001527166,0.10184813145208177,0.3775737770432326,0.06781469058205683,0.286291246017199,0.04479491369290861,0.2590180729156271,0.031117976209905158,0.14150792846994756,0.07287793225647342,0.2550660771033108,0.03759124920213554,0.1449433544428773,0.025862355478926843,0.14954415412281544,0.017965971941425116,0.08169964059459053,0.04207609380625824,0.14726246827673833,0.02170331784602726,0.08368308470484255
9,0.2,0.07740515355388822,0.1745267745888447,0.07066110261537574,0.24351184793439998,0.10272237488131752,0.18806156467552954,0.08369345531119651,0.25852900406155854,0.02647757078433865,0.08839483605173011,0.030614226285477684,0.11943996854009171,0.03722299094059018,0.09080675920657376,0.03551871350337241,0.1182979701261771,0.01528683261982529,0.05103478238943922,0.01767513178695266,0.06895869798862239,0.021490703839592742,0.05242730687215289,0.020506738802441256,0.06829936489693465
