,sigma,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,std_mae_nn_train,std_mae_nn_test,std_mae_mdl_train,std_mae_mdl_test,std_rmse_nn_train,std_rmse_nn_test,std_rmse_mdl_train,std_rmse_mdl_test,sem_mae_nn_train,sem_mae_nn_test,sem_mae_mdl_train,sem_mae_mdl_test,sem_rmse_nn_train,sem_rmse_nn_test,sem_rmse_mdl_train,sem_rmse_mdl_test
0,0.02,0.024488245633281547,0.1266480573475791,0.008538075506744012,12.255277800551633,0.04064025812377981,0.1316646500901463,0.011169149941596393,35.11931791056458,0.014108080249790687,0.14817545510930918,0.003389384049064387,37.46248010928742,0.031013625145782046,0.14835410992538883,0.0038529277283258093,109.33385509667,0.008145303929965497,0.08554913889465497,0.001956861793114348,21.628972975608093,0.017905724826463413,0.08565228530081058,0.0022244888611170793,63.12393067160197
1,0.04,0.02355168254811418,0.10651425348590485,0.018165435866191924,0.07247043128617049,0.03296770478584299,0.11308359368052753,0.02236335454769803,0.08577097182994978,0.008154595341580848,0.07233857070829722,0.008577503631872499,0.07106071504785887,0.011645541619203897,0.07520725901667484,0.010451932052118217,0.08500980228464766,0.004708057815594171,0.04176469327122818,0.0049522240308365805,0.04102692296168861,0.006723556588706361,0.04342093123829113,0.0060344257838421305,0.04908043223279819
2,0.06,0.03051651931642856,0.19609346321241583,0.02840053386171052,0.1818815125213761,0.04369491858699091,0.20891995873028874,0.03535177703922229,0.2146792938857968,0.011268692241904254,0.09004839807770426,0.010476759057541628,0.1742006729110802,0.01855574784064872,0.09120760506980952,0.01259965464982026,0.21263582791129146,0.006505982499278469,0.051989466870257135,0.006048759662106509,0.10057480539822612,0.010713166010813357,0.0526587353391956,0.0072744140037700475,0.12276535248394307
3,0.08,0.04023575268276251,0.11898401991429099,0.03767172746986529,0.2752581374259642,0.05473158119887838,0.12408650395697979,0.0468542949453571,0.33468005030078823,0.011021163854371649,0.10748230996023236,0.02305079279759802,0.24521248928053777,0.01775082348097927,0.10680333677480479,0.026800389817004673,0.30962977081891824,0.006363071918104445,0.062054940588662955,0.013308381426727503,0.1415734966947767,0.010248442715080911,0.061662935237283806,0.015473212275234554,0.17876483153142458
4,0.1,0.046230366110548676,0.22475670663437375,0.04062878822609732,0.1984707082448617,0.06779325319870765,0.23147926590280984,0.05211499595063544,0.2410019532571906,0.018117407601994203,0.21176929417772167,0.016182265819815914,0.3151474009272128,0.04022693439356026,0.21219578667016387,0.01747909888431034,0.3970579895679214,0.010460090156029526,0.12226505899960466,0.009342835527168799,0.1819504367597372,0.02322503140079543,0.12251129455492352,0.010091562446048662,0.22924153716093104
5,0.12,0.05455249935853367,0.20038763732020815,0.04935740322684089,0.5161457347052081,0.0767085170352199,0.20513744852623705,0.061819771318686774,0.6900875419516024,0.01791042342857548,0.17262972826605483,0.02107876977925384,0.67402523128671,0.029505406246558365,0.1714516273923816,0.022636660670859007,1.0407329668632554,0.010340587787788234,0.09966782008453871,0.012169833406238353,0.3891486487239818,0.017034954238999738,0.09898764322799093,0.013069282131874662,0.6008674585730185
6,0.14,0.06508558825148214,0.14458457186737173,0.058810110696744494,0.32539208535509606,0.0895616045014853,0.15199893483611862,0.07617671444215797,0.38080021956780613,0.014755145248859038,0.12268833439831339,0.030814516305206787,0.4086416785578079,0.02547284913295413,0.12489795322149345,0.03462962227517514,0.5074553898928009,0.008518887081360794,0.07083414289129307,0.01779076928375925,0.23592938311745093,0.014706756303937793,0.07210986691366254,0.019993421742507428,0.29297950595633515
7,0.16,0.06755670178234509,0.29778134071254,0.056737611265978864,0.1959929395683987,0.09314620262594812,0.31095931258282206,0.06820810004527679,0.2083971335091064,0.029328794045180497,0.22718711775737774,0.03781610611829974,0.13611172241214736,0.04520912334277552,0.22722284714862678,0.043923961604150505,0.1403873447961902,0.016932987136992053,0.13116654359363725,0.021833139047103812,0.0785841395745169,0.02610149953177844,0.13118717196729288,0.02535951105603108,0.08105267130889722
8,0.18,0.09532926975416557,0.3201976794217917,0.08677979587640665,0.38081346215668765,0.1292719624015038,0.33874290569114507,0.10872889956210989,0.4228715430269675,0.019965723801729594,0.33168283670635523,0.033953714428533656,0.2909062332542066,0.030115628121007338,0.3410785101282655,0.03675660238466387,0.32670237813749325,0.0115272160114943,0.19149717505799288,0.019603186165301587,0.16795479207825625,0.017387266002478252,0.1969217696373506,0.021221434281281728,0.18862170596257266
9,0.2,0.1007260995287585,0.4222348919310605,0.06997713213762966,3.570580798584013e+30,0.14146378590184916,0.43468834411067,0.09354989377094146,1.6361611154340166e+31,0.034613179335881816,0.3022825361942702,0.024838637816639992,1.1291167893188396e+31,0.0574442972178196,0.301534486278162,0.025177045233332123,5.173995743773167e+31,0.01998392840708016,0.1745229036430847,0.01434059422974072,6.51895882259758e+30,0.033165480462117015,0.17409101682265235,0.014535973842863686,2.987207835453416e+31
