,sigma,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,error_rmse_nn_train,error_rmse_nn_test,error_rmse_mdl_train,error_rmse_mdl_test
0,0.0,0.0150528696288988,0.17063591925930205,0.0032931932971670998,0.10968879817965765,2.595588408085316e-05,5.851517072195699e-06,7.752451307338993e-06,0.00016664352322521037
1,0.02,0.0165742235629939,0.14825868066424647,0.015490727070845,0.09570111984165905,1.6250033002203928e-05,7.80927667094414e-06,1.8666410644838542e-06,7.196777139245081e-05
2,0.04,0.02363968094257905,0.14051627135908196,0.020551057473767752,0.10407104474138221,2.286428106442072e-05,1.8387635513302354e-06,3.7514124335329005e-06,0.00016960437807164898
3,0.06,0.021561244237195798,0.12120160935894095,0.02867902916181135,0.1733891797930779,3.315998665147045e-05,7.397893849701124e-06,1.935901104251387e-06,2.8229258454394978e-05
4,0.08,0.0374263168530792,0.1463920872284544,0.0319186468080319,0.13808201652047014,1.7715009907664376e-05,3.1210109285265963e-06,5.116978749874811e-06,6.061564992862572e-05
5,0.1,0.05001746085744095,0.15902185020464085,0.042250150032057995,0.1750617418830237,1.936995846423707e-05,7.012910852197949e-06,2.253880736623881e-06,7.227839089116374e-05
6,0.12,0.0653803507282015,0.3904026483484797,0.0404404103092833,0.1317882643800768,3.5535366902344475e-05,7.116558973062669e-06,1.2176125822158937e-05,7.251557696132765e-05
7,0.14,0.0704412103582745,0.13696796356770613,0.0748048418216931,0.32851540724465755,5.619403902223698e-05,1.0792526411189534e-05,3.959529617681978e-06,4.055869720346058e-05
8,0.16,0.074919772205939,0.23172160243189785,0.05000067008059285,0.181378322105406,1.3808098558586928e-05,1.9405600904269568e-05,9.564131440024563e-06,7.227839089116376e-05
9,0.18,0.07692021015670386,0.2535666025544245,0.061094909606477454,0.3439687053933635,4.904556850716433e-05,6.461952982350564e-06,2.0829461432934006e-06,0.00012979944172057868
10,0.2,0.11393847546309105,0.1192007263989599,0.08333793057789696,0.26040424187787875,1.8191002604847682e-05,7.896380947307684e-06,5.241658195630321e-06,8.175213935861521e-05
