,sigma,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,error_rmse_nn_train,error_rmse_nn_test,error_rmse_mdl_train,error_rmse_mdl_test
0,0.0,0.0173556240184764,0.08885035534614516,0.0005198015487042,0.03903517344185635,6.175230471626456e-05,0.0001459198335500557,6.595291890794174e-06,1.0484349015704585e-11
1,0.02,0.0212862617288377,0.0790437399807241,0.01132019579562255,0.13162440599895237,4.067800856694203e-05,5.956915354625671e-05,1.1014095989470854e-05,3.079821096497772e-05
2,0.04,0.0253854764370194,0.1004557468122672,0.0232395739422218,0.038125330085836295,8.294460757561947e-06,7.742500487797918e-05,3.452528491579326e-06,2.437502276903244e-05
3,0.06,0.03271167622470485,0.16487779860806134,0.02751950129699595,0.103755214317664,5.810364714292999e-05,0.00014591983355005572,5.430138766512515e-06,3.856846570054348e-05
4,0.08,0.04934057222437935,0.09117887549699874,0.042323583774595955,0.11091003064661745,8.051693079303474e-05,8.84410283538536e-05,5.783808302421297e-06,4.151189263122654e-05
5,0.1,0.05465983081980175,0.15544146349484106,0.05043974611358325,0.0951447278041052,1.6092503702829577e-06,0.00018429127520400789,2.83581111073969e-06,4.3918182196108795e-05
6,0.12,0.0804891836205206,0.18161246192969155,0.05536665576495905,0.13160954924502788,3.5508787677700354e-05,4.9344127810208876e-05,6.186243491015764e-06,5.091187157860768e-06
7,0.14,0.07829942064420889,0.102277951384143,0.07602409594292944,0.19469657128699785,3.9819390200072915e-05,2.0480020250518944e-05,7.569528696120946e-06,5.651526832330818e-05
8,0.16,0.08055135089962151,0.23704929282471085,0.050000712554170504,0.181378322105406,0.0,3.8515294492687824e-05,1.3623534532853947e-06,2.0354647345816835e-05
9,0.18,0.1170821218537746,0.13769104843988056,0.0979599960976857,0.3414276138668275,1.6886524151543492e-05,3.229541654889526e-05,9.577478474983043e-06,3.856539207942529e-05
10,0.2,0.11647915335840264,0.21569306552060205,0.0974352215904643,0.27513820202621314,2.838941059104676e-05,9.631795921943781e-05,2.845803501213717e-06,2.7855180031827055e-05
