,x,y,z,rep,noise,z_noise,zmodel
0,-1.0,0.0,-3.05,1,0.1019728986317431,-2.9480271013682566,-1.744416591285103
1,-0.975,0.0,-2.86222828125,1,-0.0800895345385993,-2.9423178157885994,-1.706853307858252
2,-0.95,0.0,-2.68420125,1,0.1099394085323968,-2.574261841467603,-1.668471972332849
3,-0.925,0.0,-2.51560109375,1,-0.2335107089298138,-2.749111802679814,-1.6292680243743358
4,-0.8999999999999999,0.0,-2.35611,1,-0.0469093222626606,-2.403019322262661,-1.5892380862446163
5,-0.8749999999999999,0.0,-2.20541015625,1,-0.0481921127359952,-2.253602268985996,-1.5483800467565159
6,-0.8499999999999999,0.0,-2.063183749999999,1,-0.0276747506925249,-2.090858500692524,-1.506693144211112
7,-0.8249999999999998,0.0,-1.9291129687499995,1,-0.1155108982303983,-2.0446238669803978,-1.4641780475031239
8,-0.7999999999999998,0.0,-1.80288,1,-0.1467565303129634,-1.949636530312963,-1.4208369345215308
9,-0.7749999999999998,0.0,-1.6841670312499988,1,0.024332380348023,-1.6598346509019757,-1.376673566923182
10,-0.7499999999999998,0.0,-1.5726562499999988,1,-0.0510207849951277,-1.6236770349951266,-1.3316933603183816
11,-0.7249999999999998,0.0,-1.4680298437499988,1,0.1614349221595795,-1.3065949215904191,-1.2859034488815761
12,-0.6999999999999997,0.0,-1.3699699999999988,1,0.1097719889382149,-1.260198011061784,-1.239312743389465
13,-0.6749999999999997,0.0,-1.278158906249999,1,0.332135524295315,-0.946023381954684,-1.191931981695052
14,-0.6499999999999997,0.0,-1.192278749999999,1,0.052511354353873,-1.1397673956461258,-1.1437737706712434
15,-0.6249999999999997,0.0,-1.112011718749999,1,-0.0746800917258111,-1.1866918104758102,-1.0948526187027174
16,-0.5999999999999996,0.0,-1.0370399999999989,1,0.1109750546293956,-0.9260649453706032,-1.045184957871195
17,-0.5749999999999996,0.0,-0.9670457812499992,1,0.0564739206144993,-0.9105718606355,-0.9947891550670734
18,-0.5499999999999996,0.0,-0.901711249999999,1,-0.1493123475637018,-1.0510235975637008,-0.9436855113695818
19,-0.5249999999999996,0.0,-0.840718593749999,1,0.0632254822175405,-0.7774931115324585,-0.8918962491671569
20,-0.4999999999999995,0.0,-0.7837499999999991,1,-0.1325000553768407,-0.9162500553768398,-0.8394454866380273
21,-0.4749999999999995,0.0,-0.730487656249999,1,-0.1469359879013052,-0.8774236441513042,-0.7863591993755517
22,-0.4499999999999995,0.0,-0.680613749999999,1,-0.1338423031136408,-0.8144560531136399,-0.7326651691205223
23,-0.4249999999999995,0.0,-0.633810468749999,1,-0.0410647026553722,-0.6748751714053713,-0.6783929197496027
24,-0.3999999999999994,0.0,-0.5897599999999991,1,-0.0523766117537411,-0.6421366117537403,-0.6235736408607845
25,-0.3749999999999994,0.0,-0.5481445312499991,1,-0.0505824979461254,-0.5987270291961244,-0.5682400994884103
26,-0.3499999999999994,0.0,-0.5086462499999991,1,-0.0449090815518124,-0.5535553315518116,-0.5124265406665846
27,-0.3249999999999994,0.0,-0.4709473437499991,1,-0.0237189803107363,-0.4946663240607354,-0.4561685777354906
28,-0.2999999999999994,0.0,-0.4347299999999991,1,-0.0018995629907371,-0.4366295629907362,-0.39950307344491326
29,-0.2749999999999993,0.0,-0.3996764062499991,1,-0.0083871780936206,-0.4080635843436198,-0.3424680130483894
30,-0.2499999999999993,0.0,-0.3654687499999991,1,-0.0713376246650749,-0.4368063746650741,-0.2851023706954915
31,-0.2249999999999993,0.0,-0.3317892187499991,1,0.1769267542665714,-0.1548624644834276,-0.22744597051526494
32,-0.1999999999999993,0.0,-0.2983199999999991,1,0.0533550293899767,-0.2449649706100223,-0.16953934383828576
33,-0.1749999999999992,0.0,-0.264743281249999,1,-0.1876989848633996,-0.4524422661133986,-0.11142358402657782
34,-0.1499999999999992,0.0,-0.2307412499999989,1,-0.0497602876477679,-0.2805015376477668,-0.05314020036954809
35,-0.1249999999999992,0.0,-0.1959960937499989,1,0.0346674607909138,-0.1613286329590851,0.005269027539032529
36,-0.0999999999999992,0.0,-0.1601899999999988,1,0.0635473461012361,-0.0966426538987626,0.06376219360094688
37,-0.0749999999999991,0.0,-0.1230051562499987,1,-0.2729725455360056,-0.3959777017860043,0.12229740594803343
38,-0.0499999999999991,0.0,-0.0841237499999986,1,-0.1860667948288358,-0.2701905448288345,0.1808329234912439
39,-0.0249999999999991,0.0,-0.0432279687499985,1,-0.0495684468253846,-0.0927964155753831,0.2393272873041986
40,8.881784197001252e-16,0.0,1.5809575870662245e-15,1,0.0767679138215445,0.0767679138215461,0.2977394460135207
41,0.0250000000000008,0.0,0.0458779687500015,1,0.0631260029513516,0.1090039717013531,0.3560288745271644
42,0.0500000000000009,0.0,0.0947237500000018,1,-0.0857409538787663,0.0089827961212354,0.4141556855920151
43,0.075000000000001,0.0,0.1468551562500022,1,0.0586473965841503,0.2055025528341525,0.4720807338277627
44,0.1000000000000009,0.0,0.2025900000000022,1,0.1103162084694231,0.3129062084694253,0.5297657120306996
45,0.1250000000000009,0.0,0.2622460937500022,1,-0.026614041819837,0.2356320519301651,0.5871732396744702
46,0.150000000000001,0.0,0.3261412500000027,1,-0.0350627276576701,0.2910785223423325,0.6442669436517311
47,0.1750000000000011,0.0,0.3945932812500032,1,-0.0781575503981706,0.3164357308518325,0.7010115313988362
48,0.200000000000001,0.0,0.4679200000000033,1,0.1698070101544442,0.6377270101544475,0.7573728566237586
49,0.2250000000000009,0.0,0.5464392187500031,1,-0.0175540116018027,0.5288852071482004,0.8133179779152527
